transaction_id,account_id,transaction_date,amount,type,channel,merchant,location
1,2,2025-01-14 23:42:46,3488093.24,Debit,Branch,Online Shop MM,Sittwe
2,2,2025-01-04 10:30:51,1818702.38,Credit,Branch,Unknown,Naypyidaw
3,2,2025-02-26 09:42:55,184618.74,Credit,Branch,Unknown,Naypyidaw
4,2,2025-03-23 11:01:53,2690205.97,Debit,Branch,Online Shop MM,Mawlamyine
5,2,2025-03-02 08:09:34,1038027.34,Credit,Online,Unknown,Mandalay
6,2,2025-02-10 19:57:10,2566849.0,Debit,POS,Wave Pay Merchant,Mawlamyine
7,2,2025-01-14 22:02:54,158208.81,Debit,POS,Wave Pay Merchant,Naypyidaw
8,2,2025-03-13 21:53:47,2336767.11,Debit,Branch,MPT Merchant,Yangon
9,2,2025-02-02 16:10:05,1612537.86,Debit,Online,City Mart,Naypyidaw
10,2,2025-02-14 11:02:32,2107617.41,Debit,ATM,Junction Square,Yangon
11,2,2025-02-13 22:12:19,1532071.87,Debit,POS,City Mart,Yangon
12,2,2025-02-20 13:05:13,4046297.44,Debit,Branch,KBZ Pay Merchant,Myitkyina
13,2,2025-02-20 16:18:22,4170647.96,Debit,Online,MPT Merchant,Taunggyi
14,2,2025-04-09 18:55:26,2413305.4,Debit,ATM,Myanmar Plaza,Yangon
15,2,2025-01-30 23:55:54,540168.72,Debit,Online,MPT Merchant,Monywa
16,2,2025-01-22 16:18:45,2965787.18,Debit,POS,Aung San Market,Yangon
17,2,2025-03-13 16:33:15,4826212.82,Credit,POS,Unknown,Sittwe
18,2,2025-01-09 23:29:54,3759498.61,Debit,Online,City Mart,Mandalay
19,3,2025-01-26 11:47:53,1547058.42,Credit,Online,Unknown,Myitkyina
20,3,2025-01-26 04:09:46,1980573.34,Debit,POS,Myanmar Plaza,Yangon
21,3,2025-01-23 04:48:06,1507110.39,Debit,POS,Myanmar Plaza,Yangon
22,3,2025-02-24 09:39:34,451744.31,Debit,Online,City Mart,Yangon
23,3,2025-02-21 21:56:57,797489.69,Debit,Branch,Myanmar Plaza,Yangon
24,3,2025-01-11 00:26:33,3342515.82,Credit,POS,Unknown,Mandalay
25,3,2025-01-12 08:54:41,1938481.99,Debit,POS,KBZ Pay Merchant,Taunggyi
26,3,2025-02-03 18:10:03,4490208.43,Credit,Branch,Unknown,Sittwe
27,3,2025-01-23 03:35:00,1969857.95,Debit,Branch,MPT Merchant,Yangon
28,3,2025-03-05 01:55:00,1109248.53,Credit,POS,Unknown,Taunggyi
29,3,2025-01-24 04:18:53,1812039.91,Debit,ATM,MPT Merchant,Sittwe
30,3,2025-03-17 07:54:39,3758670.62,Credit,POS,Unknown,Naypyidaw
31,3,2025-03-26 15:18:47,2500248.49,Debit,Online,KBZ Pay Merchant,Mandalay
32,3,2025-01-19 09:53:55,1698593.69,Credit,Branch,Unknown,Naypyidaw
33,3,2025-04-08 11:59:36,1425535.66,Debit,Branch,City Mart,Yangon
34,3,2025-02-23 06:14:29,4792605.21,Debit,POS,KBZ Pay Merchant,Pathein
35,3,2025-02-11 18:11:45,4171328.24,Debit,ATM,Online Shop MM,Mandalay
36,3,2025-03-07 10:24:28,3279687.15,Debit,ATM,Junction Square,Yangon
37,3,2025-04-06 20:05:15,644568.81,Debit,Branch,City Mart,Yangon
38,3,2025-02-03 11:32:42,3269432.36,Credit,Branch,Unknown,Yangon
39,4,2025-03-22 07:07:25,1515469.61,Debit,ATM,MPT Merchant,Myitkyina
40,4,2025-03-19 01:34:13,2510805.87,Credit,Online,Unknown,Pathein
41,4,2025-04-07 15:06:52,4858879.45,Debit,POS,KBZ Pay Merchant,Pathein
42,4,2025-03-29 02:04:14,3798294.3,Credit,ATM,Unknown,Naypyidaw
43,4,2025-04-07 07:42:52,35776.69,Credit,Online,Unknown,Bago
44,4,2025-03-13 00:43:06,2574966.54,Credit,Branch,Unknown,Monywa
45,4,2025-03-19 13:26:26,243669.45,Debit,ATM,Wave Pay Merchant,Myitkyina
46,4,2025-03-19 05:44:54,1836153.5,Credit,Online,Unknown,Mawlamyine
47,4,2025-03-21 12:55:39,2129086.98,Credit,ATM,Unknown,Pathein
48,4,2025-03-09 15:15:50,1336910.36,Debit,Branch,City Mart,Yangon
49,4,2025-03-12 19:15:38,1623838.12,Credit,ATM,Unknown,Taunggyi
50,4,2025-03-07 11:14:54,3659789.66,Debit,Branch,Myanmar Plaza,Yangon
51,4,2025-04-09 02:03:39,421150.25,Debit,POS,Wave Pay Merchant,Monywa
52,4,2025-03-12 22:58:26,4463690.67,Debit,Branch,MPT Merchant,Bago
53,4,2025-03-09 21:49:29,4593956.89,Credit,Branch,Unknown,Yangon
54,4,2025-03-12 02:25:23,383604.18,Debit,POS,MPT Merchant,Mandalay
55,4,2025-03-15 18:39:16,1910183.06,Credit,ATM,Unknown,Taunggyi
56,5,2022-09-27 21:28:26,4637275.32,Credit,Branch,Unknown,Monywa
57,5,2024-11-11 21:31:56,112894.99,Credit,Online,Unknown,Mandalay
58,5,2025-01-02 11:26:09,4184429.73,Debit,ATM,Myanmar Plaza,Yangon
59,5,2023-11-12 14:32:58,1305617.77,Debit,POS,City Mart,Yangon
60,5,2022-08-18 08:57:21,2867106.74,Debit,Branch,Aung San Market,Yangon
61,5,2023-10-26 20:38:22,1384992.2,Credit,Branch,Unknown,Naypyidaw
62,5,2023-12-19 12:41:35,3391363.04,Debit,Branch,Myanmar Plaza,Yangon
63,5,2022-12-19 18:12:42,3910470.83,Credit,Online,Unknown,Mawlamyine
64,5,2024-01-04 06:00:52,2312743.69,Credit,Online,Unknown,Mandalay
65,5,2022-03-27 05:45:43,1107397.1,Debit,Online,Myanmar Plaza,Yangon
66,5,2023-01-05 15:04:06,3057320.01,Credit,Branch,Unknown,Sittwe
67,5,2022-04-21 11:46:57,2104403.17,Debit,Branch,Wave Pay Merchant,Pathein
68,5,2023-10-07 08:40:06,63823.56,Debit,Online,Wave Pay Merchant,Naypyidaw
69,5,2022-05-29 15:55:39,2310275.81,Credit,POS,Unknown,Pathein
70,5,2023-04-25 19:38:34,3488929.1,Credit,Online,Unknown,Monywa
71,5,2025-03-12 12:22:43,162300.28,Credit,ATM,Unknown,Myitkyina
72,5,2022-07-27 00:09:52,2807067.36,Debit,POS,Mytel Payment,Taunggyi
73,5,2023-05-30 12:25:24,1520859.62,Credit,Branch,Unknown,Myitkyina
74,5,2024-03-13 03:54:37,148793.28,Credit,POS,Unknown,Sittwe
75,5,2023-05-07 04:09:49,1758780.26,Debit,ATM,Aung San Market,Yangon
76,5,2024-03-10 20:24:16,3720516.04,Credit,Branch,Unknown,Pathein
77,5,2024-05-07 18:32:52,659355.25,Credit,ATM,Unknown,Mandalay
78,5,2022-12-26 02:29:05,1979352.74,Debit,ATM,MPT Merchant,Mawlamyine
79,5,2022-03-30 17:40:03,893933.57,Debit,Branch,Mytel Payment,Monywa
80,6,2024-10-15 23:56:15,1760771.08,Debit,Online,Online Shop MM,Taunggyi
81,6,2024-12-27 22:35:51,3151748.02,Credit,Online,Unknown,Pathein
82,6,2025-01-07 00:48:53,2678599.62,Debit,Branch,Wave Pay Merchant,Myitkyina
83,6,2024-11-21 22:37:18,1432130.84,Credit,POS,Unknown,Naypyidaw
84,6,2025-03-21 14:04:24,2000871.75,Debit,Online,Wave Pay Merchant,Naypyidaw
85,6,2024-12-10 15:28:16,3417075.53,Debit,Branch,KBZ Pay Merchant,Monywa
86,6,2025-01-08 14:40:01,945185.91,Debit,POS,Junction Square,Yangon
87,6,2024-11-12 21:42:25,3099981.55,Credit,Branch,Unknown,Yangon
88,6,2024-11-08 12:38:55,1625776.53,Debit,Branch,Ocean Supercenter,Yangon
89,6,2024-12-16 16:38:55,114574.86,Credit,Branch,Unknown,Pathein
90,6,2025-03-03 09:14:46,2557165.93,Debit,POS,Wave Pay Merchant,Taunggyi
